# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=loglines, version=0.1, until=2026-09-21T03:25:46Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (13 record(s) matching this query); records: 7; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.4,1.5,1.6; superseded: 6; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna; no=pcrec_1989c62_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	rust_1.13.1_default-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11382589.7	libpcre2_10.46_jit-caps-simdna	11382589.7	pcrec_1989c62_auto-nocaps-simdna	13188160.0	5.084856	1.000000	1.158626	3.027926	3.027085	1.158928	1.558872
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395913.6	libpcre2_10.46_jit-caps-simdna	395913.6	pcrec_1989c62_auto-nocaps-simdna	427977.6	5.683898	1.000000	1.080987	3.239191	3.235998	1.080673	1.832307
loglines@0.1	floor	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2906596.4	pcrec_d34c9131_auto-caps-simdna	2907377.9	pcrec_1989c62_auto-nocaps-simdna	2906596.4	5.000336	2.297956	1.000000	1.221847	1.361904	1.000269	1.434085
loglines@0.1	floor	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1595.3	pcrec_1989c62_vm-caps-simdna	1595.3	pcrec_1989c62_auto-nocaps-simdna	2038.8	7.120917	3.119454	1.277975	1.000000	1.009844	1.279528	5.052921
loglines@0.1	hex32-id	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	7465417.4	pcrec_d34c9131_auto-caps-simdna	13074149.8	rust_1.13.1_default-caps-simdna	7465417.4	12.985185	2.055966	1.744972	4.238704	4.224605	1.751295	1.000000
loglines@0.1	hex32-id	short-subject-search	plain	rust_1.13.1_default-caps-simdna	294679.3	pcrec_d34c9131_auto-caps-simdna	432343.1	rust_1.13.1_default-caps-simdna	294679.3	12.423935	1.662798	1.472410	3.997598	4.022480	1.467165	1.000000
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	252970.2	pcrec_d34c9131_auto-caps-simdna	252970.2	pcrec_1989c62_auto-nocaps-simdna	260775.2	7.617717	12.673737	1.030853	52.313511	52.260249	1.000000	1.754757
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7183.5	pcrec_d34c9131_auto-caps-simdna	7183.5	pcrec_1989c62_auto-nocaps-simdna	7272.7	7.865148	14.591421	1.012411	69.942443	69.927756	1.000000	2.192083
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	6893642.3	pcrec_d34c9131_auto-caps-simdna	6905129.5	pcrec_1989c62_auto-nocaps-simdna	6893642.3	28.869627	3.142909	1.000000	11.200686	11.323939	1.001666	1.088993
loglines@0.1	ipv4	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	203769.1	pcrec_d34c9131_auto-caps-simdna	204955.8	pcrec_1989c62_auto-nocaps-simdna	203769.1	38.228830	3.547851	1.000000	14.533889	14.777792	1.005824	1.443326
loglines@0.1	ipv6	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	7477277.2	pcrec_d34c9131_auto-caps-simdna	10503838.9	rust_1.13.1_default-caps-simdna	7477277.2	29.168212	4.242756	1.416452	15.354260	15.562787	1.404768	1.000000
loglines@0.1	ipv6	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	260272.0	pcrec_d34c9131_auto-caps-simdna	260272.0	pcrec_1989c62_auto-nocaps-simdna	264638.8	31.726923	4.352466	1.016778	16.758022	16.890442	1.000000	1.119858
