# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-05T03:50:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_auto-nocaps-simdna, testee=pcrec_288d505_vm-caps-simdna, testee=pcrec_288d505_vm-in-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (12 record(s) matching this query); records: 10; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4,1.5; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-nocaps-simdna,pcrec_288d505_vm-caps-simdna,pcrec_288d505_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_288d505_auto-caps-simdna	pcrec_288d505_auto-nocaps-simdna	pcrec_288d505_vm-caps-simdna	pcrec_288d505_vm-in-caps-simdna
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	59554.8	1.875607	1.000000	1.471631	1.471964	1.218416	1.211508	1.466856	1.470071	1.219836	1.224299
bounded@0.3	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1460.8	1.000000	1.019817	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1536.6	excluded	excluded	5.112343	5.110125	1.000000	1.053944	5.112445	5.116299	1.014543	1.063232
bounded@0.3	cls-atleast-4096	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	1826.1	1.000000	1.081670	1.473167	1.537886	28.112261	28.140928	1.453455	1.453565	28.038594	27.863722
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	473473.7	22.883461	9.009125	1.197895	1.196643	1.463277	2.166677	1.002797	1.000000	1.462274	2.174024
bounded@0.3	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	46560.8	1.000000	1.003472	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_288d505_vm-caps-simdna	8664.5	excluded	excluded	1.001136	1.000714	1.000440	1.016324	1.010742	1.000339	1.000000	1.019124
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	448.4	11.223888	4.459259	1.061311	1.060038	1.031289	1.214850	1.000369	1.000000	1.000758	1.214757
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	155878.5	13.987313	5.113658	1.370866	1.371579	1.586654	1.766200	1.003345	1.000000	1.586673	1.762676
bounded@0.3	cls-upto-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6924.4	1.000000	1.006739	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1995.3	excluded	excluded	2.422629	2.421158	1.000160	1.000000	2.421763	2.422353	1.019165	1.006483
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1046.9	5.584532	2.450805	1.562992	1.564672	1.250520	1.306898	1.001881	1.000000	1.239331	1.312395
