# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.1, since=2026-09-02T02:40:00Z, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: altwide@0.1; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna
altwide@0.1	ci-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	597112843.0	11.255473	1.000000	refused	refused	refused	refused
altwide@0.1	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	136435.3	1.000568	1.000000	refused	refused	refused	refused
altwide@0.1	ci-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2497475.7	11.263908	1.000000	refused	refused	refused	refused
altwide@0.1	cnt-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	4788748.5	118.894699	7.935897	1.000000	1.000083	71.496607	71.522832
altwide@0.1	cnt-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	16925.0	1.000000	1.003648	refused	refused	excluded	excluded
altwide@0.1	cnt-64	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	11747.0	excluded	excluded	refused	refused	1.063072	1.000000
altwide@0.1	cnt-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	22131.7	114.703929	8.686602	1.000000	1.000581	72.010189	71.999939
altwide@0.1	floor	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	15345.2	1.010945	2.246016	1.002338	1.000000	17.705025	17.697942
altwide@0.1	floor	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2313.3	1.000213	1.000000	excluded	excluded	excluded	excluded
altwide@0.1	floor	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	203.3	excluded	excluded	1.945656	1.939322	1.000000	1.132345
altwide@0.1	floor	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	413.9	6.429045	3.752779	1.251771	1.250350	1.000000	1.104623
altwide@0.1	nar4-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	92409724.5	9.968676	1.000000	refused	refused	refused	refused
altwide@0.1	nar4-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2345.0	1.000000	1.004878	refused	refused	refused	refused
