# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-05T07:48:00Z, until=2026-09-05T08:00:00Z, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noisland; source: store/index.tsv (2 record(s) matching this query); records: 2; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland; capture_class: yes=pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland; no=; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_noisland
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	2895849.5	pcrec_334fd10e_auto-caps-simdna	2895849.5			1.000000	1.001170
altwide@0.2	ci-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	7390.5	pcrec_334fd10e_auto-caps-simdna_noisland	7390.5			1.001286	1.000000
altwide@0.2	ci-512									refused	refused
altwide@0.2	cnt-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	3487743.9	pcrec_334fd10e_auto-caps-simdna_noisland	3487743.9			1.000257	1.000000
altwide@0.2	cnt-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	11719.0	pcrec_334fd10e_auto-caps-simdna_noisland	11719.0			1.001453	1.000000
altwide@0.2	floor	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	15360.4	pcrec_334fd10e_auto-caps-simdna_noisland	15360.4			1.000031	1.000000
altwide@0.2	floor	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_noisland	377.3	pcrec_334fd10e_auto-caps-simdna_noisland	377.3			1.007659	1.000000
altwide@0.2	floor	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	543.6	pcrec_334fd10e_auto-caps-simdna	543.6			1.000000	1.000475
altwide@0.2	nar4-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	1796719.9	pcrec_334fd10e_auto-caps-simdna	1796719.9			1.000000	1.001105
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	474.4	pcrec_334fd10e_auto-caps-simdna	474.4			1.000000	1.000910
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	4411.8	pcrec_334fd10e_auto-caps-simdna_noisland	4411.8			1.000266	1.000000
altwide@0.2	nar4-512									refused	refused
altwide@0.2	nar4-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	1910262.1	pcrec_334fd10e_auto-caps-simdna	1910262.1			1.000000	1.000212
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	446.5	pcrec_334fd10e_auto-caps-simdna	446.5			1.000000	1.007574
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	4551.2	pcrec_334fd10e_auto-caps-simdna	4551.2			1.000000	1.005022
altwide@0.2	pfx3-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	365492.0	pcrec_334fd10e_auto-caps-simdna_noisland	365492.0			1.000404	1.000000
