# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.1, since=2026-08-29T00:00:00Z, until=2026-08-30T15:00:00Z; source: store/index.tsv (15 record(s) matching this query); records: 10; subbench_versions: bounded@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 5; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_auto-nocaps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_36d5963_auto-caps-simdna	pcrec_36d5963_auto-nocaps-simdna	pcrec_36d5963_vm-caps-simdna	pcrec_36d5963_vm-in-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
bounded@0.1	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	57901.7	1.880257	1.000000	5.466133	5.461425	2.027770	2.028416	5.458883	5.452869	2.022929	2.026896
bounded@0.1	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	879.8	1.000000	1.009959	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.1	cls-atleast-4096	match-compliance	whole-subject	pcrec_36d5963_vm-caps-simdna	619.4	excluded	excluded	6.136601	6.151825	1.000000	1.028584	6.130578	6.124226	1.029790	1.014107
bounded@0.1	cls-atleast-4096	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	1214.4	1.000000	1.113850	2.867644	2.871094	42.771845	42.732525	2.860136	2.859967	42.727569	42.729834
bounded@0.1	cls-lazy-16384	large-subject-throughput	plain	pcrec_36d5963_auto-nocaps-simdna	515195.1	19.983731	7.431192	1.002706	1.000000	1.296673	1.926541	1.008437	1.003798	1.295698	1.923746
bounded@0.1	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	13419.6	1.000713	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.1	cls-lazy-16384	match-compliance	whole-subject	pcrec_36d5963_auto-caps-simdna	2394.7	excluded	excluded	1.000000	1.010448	1.006675	1.033965	1.001097	1.003934	1.001763	1.043829
bounded@0.1	cls-lazy-16384	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	275.9	11.926926	4.697356	1.127757	1.127019	1.159803	1.292898	1.108081	1.104806	1.000000	1.289315
bounded@0.1	cls-upto-16384	large-subject-throughput	plain	pcrec_36d5963_vm-caps-simdna	192135.1	9.102296	3.467698	2.046626	2.046784	1.000000	1.168634	2.048101	2.054480	1.027447	1.169479
bounded@0.1	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3397.0	1.000000	1.000856	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.1	cls-upto-16384	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	724.0	excluded	excluded	1.010894	1.009435	1.011264	1.003766	1.017414	1.016011	1.025246	1.000000
