# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=loglines, version=0.1, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=pcrec_263b013_auto-caps-simdna, testee=pcrec_263b013_vm-caps-simdna, testee=pcrec_96e44c2_auto-caps-simdna, testee=pcrec_96e44c2_auto-nocaps-simdna, testee=pcrec_96e44c2_vm-caps-simdna, testee=pcrec_96e44c2_vm-in-caps-simdna; source: store/index.tsv (18 record(s) matching this query); records: 12; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3,1.4; superseded: 6; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_263b013_auto-caps-simdna	pcrec_263b013_vm-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11382589.7	5.084856	1.000000	1.158494	1.158626	3.027926	3.027085	1.144436	3.028699	1.143656	1.147949	3.026249	3.025853
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395913.6	5.683898	1.000000	1.079825	1.080987	3.239191	3.235998	1.073687	3.244026	1.073153	1.074823	3.244501	3.243494
loglines@0.1	floor	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2902660.6	5.007116	2.301072	1.000000	1.001356	1.223504	1.363750	1.003410	5.457587	1.007596	1.003282	5.458592	5.504144
loglines@0.1	floor	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1595.3	7.120917	3.119454	1.283955	1.277975	1.000000	1.009844	1.281112	2.797817	1.283090	1.288803	2.801127	2.826656
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	12986013.4	7.464941	1.181937	1.002719	1.003152	2.436752	2.428647	1.001971	2.716809	1.000000	1.002561	2.737279	2.714386
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	430860.9	8.497118	1.137240	1.005176	1.007027	2.734083	2.751100	1.001605	3.159049	1.002268	1.000000	3.161045	3.161126
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	253484.3	7.602269	12.648036	1.027143	1.028763	52.207424	52.154270	1.000915	52.344559	1.000842	1.000000	52.268284	52.268720
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	6988.3	8.084815	14.998947	1.036645	1.040687	71.895875	71.880778	1.000021	72.138684	1.000000	1.003674	72.040205	72.026501
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	6893642.3	28.869627	3.142909	1.000648	1.000000	11.200686	11.323939	1.001634	11.250663	1.001645	1.003209	11.308360	11.424606
loglines@0.1	ipv4	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	203769.1	38.228830	3.547851	1.001509	1.000000	14.533889	14.777792	1.003489	14.540505	1.005571	1.005265	14.671923	14.930379
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	10302797.9	21.168891	3.079189	1.026877	1.027993	11.143386	11.294725	1.001030	11.027957	1.000468	1.000000	11.018714	11.179401
loglines@0.1	ipv6	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	258339.6	31.964238	4.385022	1.023595	1.024383	16.883371	17.016782	1.000428	16.942941	1.001932	1.000000	16.934219	17.040578
loglines@0.1	iso-ts	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	962034.7	63.330140	1.000000	1.267922	1.267180	26.279583	26.259164	1.192723	26.313502	1.192018	1.193306	26.308772	26.372462
loglines@0.1	iso-ts	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	20481.7	116.373206	1.010076	1.089995	1.087586	47.922219	47.884386	1.001062	47.940783	1.000000	1.002312	48.079216	48.105118
loglines@0.1	kv-quoted	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	14051519.1	4.672087	1.068325	1.017820	1.034331	2.500311	2.499904	1.002143	2.503707	1.000000	1.003774	2.500646	2.498348
loglines@0.1	kv-quoted	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	334426.7	5.569638	1.000000	1.536178	1.534508	4.008329	4.006676	1.496337	4.017548	1.494642	1.496870	4.015413	4.011129
