# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna; no=pcrec_1989c62_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	59606.9	libpcre2_10.46_jit-caps-simdna	59606.9	pcrec_1989c62_auto-nocaps-simdna	87662.5	1.870118	1.000000	1.470345	1.470678	1.217351	1.210450
bounded@0.3	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1443.4	libpcre2_10.46_interp-caps-simdna	1443.4			1.000000	1.004394	excluded	excluded	excluded	excluded
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1536.6	pcrec_1989c62_vm-caps-simdna	1536.6	pcrec_1989c62_auto-nocaps-simdna	7852.0	excluded	excluded	5.112343	5.110125	1.000000	1.053944
bounded@0.3	cls-atleast-4096	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	1800.6	libpcre2_10.46_interp-caps-simdna	1800.6	pcrec_1989c62_auto-nocaps-simdna	2808.4	1.000000	1.106465	1.494072	1.559709	28.511185	28.540259
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	566578.9	pcrec_1989c62_auto-caps-simdna	567171.8	pcrec_1989c62_auto-nocaps-simdna	566578.9	19.115686	7.093662	1.001046	1.000000	1.222818	1.810630
bounded@0.3	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	46449.7	libpcre2_10.46_jit-caps-simdna	46449.7			1.003435	1.000000	excluded	excluded	excluded	excluded
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	8668.3	pcrec_1989c62_vm-caps-simdna	8668.3	pcrec_1989c62_auto-nocaps-simdna	8670.7	excluded	excluded	1.000696	1.000274	1.000000	1.015877
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	462.5	pcrec_1989c62_vm-caps-simdna	462.5	pcrec_1989c62_auto-nocaps-simdna	475.3	10.884850	4.305606	1.029112	1.027878	1.000000	1.177993
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	213688.6	pcrec_1989c62_auto-caps-simdna	213688.6	pcrec_1989c62_auto-nocaps-simdna	213799.7	10.178830	3.740729	1.000000	1.000520	1.157410	1.288382
bounded@0.3	cls-upto-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6903.9	libpcre2_10.46_jit-caps-simdna	6903.9			1.005002	1.000000	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1995.3	pcrec_1989c62_vm-in-caps-simdna	1995.3	pcrec_1989c62_auto-nocaps-simdna	4831.0	excluded	excluded	2.422629	2.421158	1.000160	1.000000
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1309.2	pcrec_1989c62_vm-caps-simdna	1309.2	pcrec_1989c62_auto-nocaps-simdna	1638.1	4.450912	1.859097	1.249873	1.251217	1.000000	1.045084
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	231865.8	pcrec_1989c62_auto-caps-simdna	232716.4	pcrec_1989c62_auto-nocaps-simdna	231865.8	9.646770	3.560077	1.003668	1.000000	1.131908	1.257294
bounded@0.3	cls-upto-128	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	5527.7	libpcre2_10.46_interp-caps-simdna	5527.7			1.000000	1.000645	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1073.2	pcrec_1989c62_vm-in-caps-simdna	1073.2	pcrec_1989c62_auto-nocaps-simdna	2055.9	excluded	excluded	1.915302	1.915735	1.000852	1.000000
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1159.8	pcrec_1989c62_vm-caps-simdna	1159.8	pcrec_1989c62_auto-nocaps-simdna	1334.1	4.819877	2.033805	1.152341	1.150281	1.000000	1.046865
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	288076.8	pcrec_1989c62_auto-caps-simdna	288076.8	pcrec_1989c62_auto-nocaps-simdna	288807.6	9.424198	3.467983	1.000000	1.002537	1.097996	1.220590
bounded@0.3	cls-upto-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4720.4	libpcre2_10.46_interp-caps-simdna	4720.4			1.000000	1.005157	excluded	excluded	excluded	excluded
