# program_identity v1; subbench=capability@0.1; engine=pcrec; old=b1885a83; new=6ef76820
# binaries: b1885a83=da3440949ec124bc9c91d0519078b017831437f83cb26c7dbc7f93601487f3f3; 6ef76820=171d9a6f3ebda89b7cddb65c4ba296d3267de6757eadd8c5dd2265e23afbadc5
# normalization: dropped = the `/* Generated by pcrec` line, the `.abi = N,` initializer, and every `#define` whose name is defined on ONE side only; everything else compared verbatim (.c + .h, emitted WITHOUT -fcomments)
# generated by: tools/program_identity.py (docs/design/null_band_v1.md)
# config auto-caps-simdna: flags `--features all`; records capability@0.1__pcrec_b1885a83_auto-caps-simdna__budu-ryzen1600__20260923T114747Z.jsonl / capability@0.1__pcrec_6ef76820_auto-caps-simdna__budu-ryzen1600__20260923T200117Z.jsonl
# config auto-nocaps-simdna: flags `--features all --no-captures`; records capability@0.1__pcrec_b1885a83_auto-nocaps-simdna__budu-ryzen1600__20260923T122232Z.jsonl / capability@0.1__pcrec_6ef76820_auto-nocaps-simdna__budu-ryzen1600__20260923T203241Z.jsonl
# config vm-caps-simdna: flags `--features all --engine=vm`; records capability@0.1__pcrec_b1885a83_vm-caps-simdna__budu-ryzen1600__20260923T125206Z.jsonl / capability@0.1__pcrec_6ef76820_vm-caps-simdna__budu-ryzen1600__20260923T210008Z.jsonl
# config vm-in-caps-simdna: flags `--features all --engine=vm`; records capability@0.1__pcrec_b1885a83_vm-in-caps-simdna__budu-ryzen1600__20260923T133317Z.jsonl / capability@0.1__pcrec_6ef76820_vm-in-caps-simdna__budu-ryzen1600__20260923T214059Z.jsonl
# verdicts: changed=104, identical=393, refused-both=15
config	pattern_id	form	verdict	old_sha256	new_sha256	ignored_one_sided_macros
auto-caps-simdna	balanced-parens-rec	plain	identical	2c4e2d32e0fab4b76a7aea6026c32935741b366a7f7d017c8f336b0b9198c79c	2c4e2d32e0fab4b76a7aea6026c32935741b366a7f7d017c8f336b0b9198c79c	RX_REQ_WHY
auto-caps-simdna	balanced-parens-rec	whole-subject	identical	8905a67ea556d4087a4555b5c38721601868856cdffa7e36a168ecae84b4279a	8905a67ea556d4087a4555b5c38721601868856cdffa7e36a168ecae84b4279a	RX_REQ_WHY
auto-caps-simdna	base10num-near-miss	plain	identical	3f790f9afce56b8b0fca644361892e14a4a51724a1493aa3aee5a7220fcdf3c1	3f790f9afce56b8b0fca644361892e14a4a51724a1493aa3aee5a7220fcdf3c1	RX_REQ_WHY
auto-caps-simdna	base10num-near-miss	whole-subject	identical	0984b3319e96baaa6efbb655d7855b9de3ff559d80b2652cbb4ed2e50e8db008	0984b3319e96baaa6efbb655d7855b9de3ff559d80b2652cbb4ed2e50e8db008	RX_REQ_WHY
auto-caps-simdna	bracket-array-define	plain	identical	078dd1e2ee37e03a2c2795aaf2e607295811084c6534b4b178f36e9b1f6f3e2f	078dd1e2ee37e03a2c2795aaf2e607295811084c6534b4b178f36e9b1f6f3e2f	RX_REQ_WHY
auto-caps-simdna	bracket-array-define	whole-subject	identical	bc0a4f6eb7a3680f5e4b351e6aa3ef801b6ad8b8e70b772a6734f6469998e036	bc0a4f6eb7a3680f5e4b351e6aa3ef801b6ad8b8e70b772a6734f6469998e036	RX_REQ_WHY
auto-caps-simdna	codegrammar-flat	plain	changed	a48d243c5624a2ea563587b13838b4a2a5a16a5436d03d1d3a7a1c2f3d969629	2de1ef4a3bb6f2a97fc996e4c2347bad694b8902ba4e2fa3eab319a080d1339e	RX_REQ_WHY
auto-caps-simdna	codegrammar-flat	whole-subject	changed	993c2234b76877f3e2850e5647ddace87a4d05f89b7655898475a2c08e0ed2c5	8451eac6a915b3ce28bb102d4dedab47e233dbb9cce7b48a4c8fba5f4b71b803	RX_REQ_WHY
auto-caps-simdna	codegrammar-xflag	plain	changed	5239234e0c2322a2fdac9eac1bf771dbbc2ec2ca5dedfed5bd760aba3c6b7e65	43e58c6556b5e176fa27cd9543b2a500a16c2a6d641a937756569371c0262c22	RX_REQ_WHY
auto-caps-simdna	codegrammar-xflag	whole-subject	changed	08a3916baec2c3147f969d1fd787312e2f561f3e39c8e793406b928599be0aa8	b202afc1068976ccfcb785962d8089ebb101cd139013551bab8cdccf2794f584	RX_REQ_WHY
