# program_identity v2; subbench=capability@0.1; engine=pcrec; old=6ef76820; new=ce658cb7
# binaries: 6ef76820=171d9a6f3ebda89b7cddb65c4ba296d3267de6757eadd8c5dd2265e23afbadc5; ce658cb7=f84d06e05edfa0e0315cc2f6c0558f66fd1e0dd3888827149020be86b705a49c
# normalization v2 (one artifact at a time; the SAME function as the records' engine_metadata.program_sha256): C comments removed and blank runs collapsed, the PCREC_RX_ABI_H block, the unread rx_info initializer and every UNREFERENCED #define dropped; everything else compared verbatim (.c + .h, emitted WITHOUT -fcomments); the sha columns ARE program_sha256 values
# generated by: tools/program_identity.py (docs/design/null_band_v1.md)
# config auto-caps-simdna: flags `--features all`; records capability@0.1__pcrec_6ef76820_auto-caps-simdna__budu-ryzen1600__20260923T200117Z.jsonl / capability@0.1__pcrec_ce658cb7_auto-caps-simdna__budu-ryzen1600__20260925T231327Z.jsonl
# config auto-nocaps-simdna: flags `--features all --no-captures`; records capability@0.1__pcrec_6ef76820_auto-nocaps-simdna__budu-ryzen1600__20260923T203241Z.jsonl / capability@0.1__pcrec_ce658cb7_auto-nocaps-simdna__budu-ryzen1600__20260925T234500Z.jsonl
# config vm-caps-simdna: flags `--features all --engine=vm`; records capability@0.1__pcrec_6ef76820_vm-caps-simdna__budu-ryzen1600__20260923T210008Z.jsonl / capability@0.1__pcrec_ce658cb7_vm-caps-simdna__budu-ryzen1600__20260925T215210Z.jsonl
# config vm-in-caps-simdna: flags `--features all --engine=vm`; records capability@0.1__pcrec_6ef76820_vm-in-caps-simdna__budu-ryzen1600__20260923T214059Z.jsonl / capability@0.1__pcrec_ce658cb7_vm-in-caps-simdna__budu-ryzen1600__20260925T223351Z.jsonl
# verdicts: changed=72, identical=425, refused-both=15
config	pattern_id	form	verdict	old_sha256	new_sha256	ignored_one_sided_macros
auto-caps-simdna	balanced-parens-rec	plain	identical	ca852032bcc545717ca6aa65fab1143698291fc3a5c3697689ca4b171fb182d0	ca852032bcc545717ca6aa65fab1143698291fc3a5c3697689ca4b171fb182d0	-
auto-caps-simdna	balanced-parens-rec	whole-subject	identical	ca78ee1664eb3ed0db1ab6507a1664a7a26196805d92448fba3b5c2cbbdc0240	ca78ee1664eb3ed0db1ab6507a1664a7a26196805d92448fba3b5c2cbbdc0240	-
auto-caps-simdna	base10num-near-miss	plain	identical	0cfda4b552900265ce71a4e0ae95170ec9705cb8a1853f33088e0fe3ede99c9a	0cfda4b552900265ce71a4e0ae95170ec9705cb8a1853f33088e0fe3ede99c9a	-
auto-caps-simdna	base10num-near-miss	whole-subject	identical	082b1e5d11a7ab83fa5ef1c0c651b1f0f5550b3d6c37bf087c0cdd9f6e54d089	082b1e5d11a7ab83fa5ef1c0c651b1f0f5550b3d6c37bf087c0cdd9f6e54d089	-
auto-caps-simdna	bracket-array-define	plain	identical	5db7f97292b496636b6a7980a9df148fd2ed8026ee60a9c74f0d105177c12516	5db7f97292b496636b6a7980a9df148fd2ed8026ee60a9c74f0d105177c12516	-
auto-caps-simdna	bracket-array-define	whole-subject	identical	179a538e72424e48299831f71a59c5dc5483a82e14f6c7e8a40a77bccd224a42	179a538e72424e48299831f71a59c5dc5483a82e14f6c7e8a40a77bccd224a42	-
auto-caps-simdna	codegrammar-flat	plain	identical	c6800e12792219a9cb5bd2058035e9e5e0bf38864a1330ab197745c8654237c7	c6800e12792219a9cb5bd2058035e9e5e0bf38864a1330ab197745c8654237c7	-
auto-caps-simdna	codegrammar-flat	whole-subject	identical	60d31bfdab16114d91c2a099078b2bb43c804fcb567b841aaf44b4537ca1d8ac	60d31bfdab16114d91c2a099078b2bb43c804fcb567b841aaf44b4537ca1d8ac	-
auto-caps-simdna	codegrammar-xflag	plain	identical	7a0884e492a7ff4ddacdcd62e1d808ce75587ae5bdeb85b4470de24d8ae21200	7a0884e492a7ff4ddacdcd62e1d808ce75587ae5bdeb85b4470de24d8ae21200	-
auto-caps-simdna	codegrammar-xflag	whole-subject	identical	3015c0a0a9d2e05d32bcd1cd4983d513982f904cfeafdb859d4bf0b4f3700cf8	3015c0a0a9d2e05d32bcd1cd4983d513982f904cfeafdb859d4bf0b4f3700cf8	-
