path	subbench	version	testee_id	machine_id	timestamp	status	rows
records/loglines@0.1/libpcre2_10.46_interp-caps-simdna/loglines@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260828T150051Z.jsonl	loglines	0.1	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-08-28T15:00:51Z	measured	6875
records/loglines@0.1/libpcre2_10.46_interp-caps-simdna/loglines@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260829T194349Z.jsonl	loglines	0.1	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-08-29T19:43:49Z	measured	6875
records/loglines@0.1/libpcre2_10.46_interp-caps-simdna/loglines@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260830T135401Z.jsonl	loglines	0.1	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-08-30T13:54:01Z	measured	6875
records/loglines@0.1/libpcre2_10.46_interp-caps-simdna/loglines@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260902T070149Z.jsonl	loglines	0.1	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-09-02T07:01:49Z	measured	6875
records/loglines@0.1/libpcre2_10.46_jit-caps-simdna/loglines@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260828T150950Z.jsonl	loglines	0.1	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-08-28T15:09:50Z	measured	6875
records/loglines@0.1/libpcre2_10.46_jit-caps-simdna/loglines@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260829T195307Z.jsonl	loglines	0.1	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-08-29T19:53:07Z	measured	6875
records/loglines@0.1/libpcre2_10.46_jit-caps-simdna/loglines@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260830T140301Z.jsonl	loglines	0.1	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-08-30T14:03:01Z	measured	6875
records/loglines@0.1/libpcre2_10.46_jit-caps-simdna/loglines@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260902T071053Z.jsonl	loglines	0.1	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-09-02T07:10:53Z	measured	6875
records/loglines@0.1/pcrec_1989c62_auto-caps-simdna/loglines@0.1__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260902T071932Z.jsonl	loglines	0.1	pcrec_1989c62_auto-caps-simdna	budu-ryzen1600	2026-09-02T07:19:32Z	measured	6930
records/loglines@0.1/pcrec_1989c62_auto-caps-simdna/loglines@0.1__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260903T091145Z.jsonl	loglines	0.1	pcrec_1989c62_auto-caps-simdna	budu-ryzen1600	2026-09-03T09:11:45Z	measured	6930
records/loglines@0.1/pcrec_1989c62_auto-caps-simdna_cc-clang/loglines@0.1__pcrec_1989c62_auto-caps-simdna_cc-clang__budu-ryzen1600__20260902T123854Z.jsonl	loglines	0.1	pcrec_1989c62_auto-caps-simdna_cc-clang	budu-ryzen1600	2026-09-02T12:38:54Z	measured	6930
