pattern	subject	regime	expected	start	end	nmatches	method	oracle
iso-ts	s-000	search_short	match	234	258	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-001	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-002	search_short	match	0	24	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-003	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-004	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-005	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-006	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-007	search_short	match	0	24	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-008	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-009	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-010	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-011	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-012	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-013	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-014	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-015	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-016	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-017	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-018	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-019	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-020	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-021	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-022	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-023	search_short	match	217	241	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-024	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-025	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-026	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
iso-ts	s-027	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
