id	len	sha256	description	periodic
s-000	307	27ce41d69dcbb5ff03f2db9f9823e43171cfe3bace97673dc5b3dccbdd263e79	256-512 B band, 4 lines, shapes: iso-ts	no
s-001	449	1490fd28c229a05dc8d9eb5c6f8e871faa1d61b968ea15323bc44cc62d52d67a	256-512 B band, 5 lines, background only (no shape injected)	no
s-002	333	ab9e7480f3cd9ef20b3a99e56b41a40348c22a832f6848a44109023199c3fcc4	256-512 B band, 4 lines, shapes: iso-ts+kv-quoted	no
s-003	351	f3383b86679447dc1c5692962924ecc6dcb058b0dcf240a160ab1124cfff9f75	256-512 B band, 4 lines, background only (no shape injected)	no
s-004	510	3fd94194bbb2f320440819440d2162a9fcfee7eb8eb1d71a059f9abe9cd83be4	256-512 B band, 6 lines, background only (no shape injected)	no
s-005	303	a9f51df839d0e660a237b21d905e9574a7a37a8992873b2a94b0619498d515c7	256-512 B band, 4 lines, background only (no shape injected)	no
s-006	367	a61e17077499f753833f2e460edaa801f23ed8f1718409d1bb70c88d05999303	256-512 B band, 4 lines, shapes: ipv6	no
s-007	411	2e1e04e34df918ba8f8ea196c8acaeaf3c41737cf09c89563327c359f158c3d2	256-512 B band, 5 lines, shapes: iso-ts	no
s-008	361	0dc26e348242a9873e2b92df86bafeac64782cd47104c1352d56fd408a8b6179	256-512 B band, 5 lines, shapes: stack-frame	no
s-009	334	fbd37e69ac5efe6b22e031504f8f4d6b014c92d2a4d4d52093995ea3be889817	256-512 B band, 4 lines, shapes: bignum	no
s-010	388	9dd496a0b0eb9f5805850fbe3a82f8dd9a17bd3e7893e50449e35e0c11eed306	256-512 B band, 4 lines, shapes: kv-quoted+http-5xx	no
s-011	446	fd13752c498b32ae11f1dc0d27c097bc452cc432d869666927031cc918f20096	256-512 B band, 5 lines, shapes: http-5xx	no
s-012	569	16b00a1d72f2740fb6a6a25808dc3fb54c401293aac5d4b64284f7d6a6bf6bcc	256-512 B band, 6 lines, background only (no shape injected)	no
s-013	486	4434f37d2fee999b564d84a310eab8835b24fe9f769dc68daa73a392a2daac93	256-512 B band, 6 lines, background only (no shape injected)	no
s-014	343	d4f16a2ced8d6dbba28c0b08d97ab6ad620301075bbcc2c351e1d947dcdcbf5a	256-512 B band, 4 lines, background only (no shape injected)	no
s-015	400	10f7ade72493c094a8d3227756b490bbc8c14c48e325d467ea44ac97cdb0d700	256-512 B band, 4 lines, background only (no shape injected)	no
s-016	346	0d0891d2eac62daad594d1fc23ffc32186599c453dc454be6a5d483215edfc7a	256-512 B band, 4 lines, shapes: uuid	no
s-017	387	3f8e334c476c9e6a4d1b00fb4a93a6b21cfb422b844be2f62bacd058f13adf04	256-512 B band, 4 lines, background only (no shape injected)	no
s-018	331	48c5cd24ec3f34fba5945ed6eccca47f83c77c6069b8e19041c971f9f1694b98	256-512 B band, 4 lines, shapes: hex32-id	no
s-019	358	e7e49516f5d317696aa29284829819a862b22f4fee1b02dffb4d0dbda9ae769d	256-512 B band, 5 lines, shapes: stack-frame	no
s-020	466	732d17f17d6c9608d0cd24ca67b5868ae8c2309c6f0a922eb714406b13e74bec	256-512 B band, 5 lines, background only (no shape injected)	no
s-021	303	0867a964e2a279a4b039e252c9368bfeaa8eb36e1fe3b2006e2a600fb46aee70	256-512 B band, 4 lines, background only (no shape injected)	no
s-022	448	7b870047baa0b530abafcb3a299fa136fd08f2285d87ac21de51f12c20581ceb	256-512 B band, 6 lines, background only (no shape injected)	no
s-023	528	af0b221575feac7a987599af1bc676124e3b27a4b7d302a81c58617de47e0366	256-512 B band, 6 lines, shapes: iso-ts+http-5xx	no
s-024	306	69ca9658e0f993ed73192df9c649f2b91b71f562439d8f45617b71b744d2f4f2	256-512 B band, 3 lines, shapes: uuid	no
s-025	391	49605a8b97196ae334458bb64fcfe5e6fbc930e7674f7192d0ea9c5f09baaaf7	256-512 B band, 5 lines, background only (no shape injected)	no
s-026	438	35dc813b87369f5a92daddaf38eb9dc39c4f5f064dc7c7aa5f72cdceb5a15b67	256-512 B band, 4 lines, shapes: ipv6	no
s-027	279	d6786f06e2f843cb69999f0e18e60061b49a7c79874bf2277373ba02db13ca83	256-512 B band, 3 lines, shapes: http-5xx+uuid	no
s-028	644	e71c760fb52d1d01cdce16dc461aacf6ff5f3c8eefe113c7283317fb9daaf23b	512-1024 B band, 7 lines, shapes: bignum	no
s-029	905	42fd6f12fdb97b0d5f85cf3bd37fd444a90fbca9a835db2d2aa34cce6d31a8d3	512-1024 B band, 11 lines, shapes: iso-ts+ipv4+kv-quoted+uuid+hex32-id	no
